id,dep_delayed_15min
0,0.06678854578955667
1,0.05282063172214255
2,0.06669441028409928
3,0.3359911122569599
4,0.3125126615557243
5,0.09574671181881568
6,0.04714906519037272
7,0.1481298005623523
8,0.11890689154192985
9,0.2598477239233252
10,0.44338243694937063
11,0.3049217730016136
12,0.08218199353732451
13,0.1997965756222644
14,0.051498797308170516
15,0.23258631789323797
16,0.06405683990975321
17,0.2633224166189962
18,0.45957996896387376
19,0.005289198993504243
20,0.2338250945744716
21,0.10610813428264307
22,0.3041257537450461
23,0.13191008557787703
24,0.17997620644051698
25,0.3157790345681891
26,0.0043984340896107066
27,0.036267991601703076
28,0.17518509512773028
29,0.13544014913414476
30,0.18293868005887112
31,0.3083779128272926
32,0.06251294340867723
33,0.24948001828281044
34,0.4756021091360924
35,0.31216715298277486
36,0.13536544562113995
37,0.09532525967136068
38,0.04650004163471913
39,0.12618490548761557
40,0.10217992896127073
41,0.09408011306271774
42,0.1419342784378365
43,0.2695497010159503
44,0.11319890839292061
45,0.5539399028664035
46,0.0025100357151598084
47,0.19764313539251047
48,0.6475596786620111
49,0.04661068460521263
50,0.5031098927469366
51,0.032545510012251845
52,0.2691358056740204
53,0.5720491020170844
54,0.31705850571137467
55,0.05376184148691707
56,0.28039308584781963
57,0.30785665920026384
58,0.04360222909850882
59,0.21629245108449435
60,0.2389393307887064
61,0.06267532914586917
62,0.11725419950970495
63,0.24173844212445716
64,0.1664997874419341
65,0.1416210224924991
66,0.028174402999699623
67,0.1399481378073935
68,0.0988498166591695
69,0.3195146199985871
70,0.010368176125631167
71,0.2734366303864846
72,0.45751162343838286
73,0.40234011711489376
74,0.4907589389246083
75,0.2632504908868776
76,0.08372607564182259
77,0.1348633891180187
78,0.09068291691692881
79,0.1379268299328466
80,0.13360855485112028
81,0.23178226324388612
82,0.04570468303356093
83,0.09906353691820391
84,0.08856173957407516
85,0.0030770757040768787
86,0.14500405196034194
87,0.2151201622586066
88,0.32938028998285773
89,0.21858624114968578
90,0.16538436212572966
91,0.2680431407915319
92,0.14915360471510783
93,0.11158450099145228
94,0.17057023558551143
95,0.15950237087738417
96,0.3281843146938768
97,0.06800723570237133
98,0.14292837668093122
99,0.38713225300153337
100,0.14074582168557542
101,0.16333568955998884
102,0.07859761162073468
103,0.25264069056624006
104,0.004770923062427674
105,0.0594801064547579
106,0.36319492178409374
107,0.04119374199150589
108,0.11188966363968056
109,0.14304785891508873
110,0.1243570223946107
111,0.16644934392752647
112,0.7909392791121581
113,0.023151534773302694
114,0.05068035012725654
115,0.10965889459229658
116,0.11449388652360362
117,0.7837029133841914
118,0.07237405425022408
119,0.16119590499713368
120,0.2878866840792714
121,0.36199967432667807
122,0.13061817335370904
123,0.28384197753745205
124,0.22728010760183245
125,0.02914682570251107
126,0.04964421727796534
127,0.027109446055497845
128,0.09126873090354487
129,0.4032916162801983
130,0.26494563643101365
131,0.14819309214242393
132,0.02312522233392795
133,0.1939893067204939
134,0.07844327013904547
135,0.20915855917680742
136,0.2887135438713368
137,0.13558308605540653
138,0.016808375923753387
139,0.05450952572853153
140,0.3548411424109381
141,0.2092260075366433
142,0.30930839710405955
143,0.47563429653997347
144,0.20135203362989781
145,0.16037319915961418
146,0.26355441795880785
147,0.16861991706000656
148,0.09773001851638047
149,0.33575548078215567
150,0.6696979109286139
151,0.16288803288658296
152,0.15541199682873108
153,0.1389247596604692
154,0.10164968926065443
155,0.12501024952450088
156,0.3972410204030776
157,0.20476623809847364
158,0.25752238835197344
159,0.019409996313761335
160,0.05964628144394391
161,0.40485074038351826
162,0.7055860141632857
163,0.10298460843112367
164,0.3131709716824564
165,0.07857080832782354
166,0.13530322991190988
167,0.016856213950296794
168,0.1387204329578246
169,0.2635694162513596
170,0.2100621759169337
171,0.1740566773699303
172,0.10631759811147083
173,0.23255984803855667
174,0.2857665541488752
175,0.20094544882866783
176,0.08747608789152761
177,0.012639086568284092
178,0.21799175716719693
179,0.10701212700941327
180,0.019955408947186375
181,0.07724940656873419
182,0.21212086690955134
183,0.6186324000091532
184,0.1887908649550597
185,0.29854946248781633
186,0.213087422791495
187,0.3156110419629219
188,0.24670745652825243
189,0.28226408585739005
190,0.3877194581487574
191,0.4089158403486651
192,0.1955721936049573
193,0.14697604326767577
194,0.12190237169618322
195,0.07823926747698941
196,0.11679127575465381
197,0.11550746780964852
198,0.24671647026312873
199,0.28529316552108275
200,0.19853180460552622
201,0.19676348067331742
202,0.15815975444583036
203,0.012990243765425558
204,0.008538588247986107
